id,id_no,name_en,name_fr,short_description_en,short_description_fr,longitude,latitude,states_name_en,states_name_fr
1604,1317,"Pitons, cirques and remparts of Reunion Island","Pitons, cirques et remparts de l’île de la Réunion","<p>The Pitons, cirques and remparts of Reunion Island site coincides with the core zone of La Réunion National Park. The property covers more than 100,000 ha or 40 % of La Réunion, an island comprising two adjoining volcanic massifs located in the south-west of the Indian Ocean. Dominated by two towering volcanic peaks, massive walls and three cliff-rimmed cirques, the property includes a great variety of rugged terrain and impressive escarpments, forested gorges and basins creating a visually striking landscape. It is the natural habitat for a wide diversity of plants, presenting a high level of endemism. There are subtropical rainforests, cloud forests and heaths creating a remarkable and visually appealing mosaic of ecosystems and landscape features.</p>","<p>Ce bien coïncide avec la zone centrale du Parc national de la Réunion. Il couvre une superficie de plus de 100 000 ha, soit 40% de la Réunion, une île composée de deux massifs volcaniques située dans le sud ouest de l'océan Indien. Dominé par deux pics volcaniques, le site présente une grande diversité d'escarpements, de gorges et de bassins boisés qui, ensemble, créent un paysage spectaculaire. Il sert d'habitat naturel à une grande diversité de plantes présentant un degré d'endémisme élevé. On y trouve des forêts ombrophiles subtropicales, des forêts de brouillard et des landes, le tout formant une mosaïque d'écosystèmes et de caractéristiques paysagères remarquables.</p>",55.48,-21.0994444444,France,France
1637,203,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt","De la grande saline de Salins-les-Bains à la saline royale d’Arc-et-Senans, la production du sel ignigène","<p>The Royal Saltworks of Arc-et-Senans, near Besançon, was built by Claude Nicolas Ledoux. Its construction, begun in 1775 during the reign of Louis XVI, was the first major achievement of industrial architecture, reflecting the ideal of progress of the Enlightenment. The vast, semicircular complex was designed to permit a rational and hierarchical organization of work and was to have been followed by the building of an ideal city, a project that was never realized.</p><p>The Great Saltworks of Salins-les-Bains was active for at least 1200 years until stopping activity in 1962. From 1780 to 1895, its salt water travelled through 21 km of wood pipes to the Royal Saltworks of Arc-et-Senans. It was built near the immense Chaux Forest to ensure its supply of wood for fuel. The Saltworks of Salins shelters an underground gallery from the 13<sup>th</sup> century including a hydraulic pump from the 19<sup>th</sup> century that still functions. The boiler house demonstrates the difficulty of the saltworkers’ labour to collect the “White Gold”.</p>","<p>La Saline Royale d'Arc-et-Senans, à proximité de Besançon, est l'œuvre de Claude Nicolas Ledoux. Sa construction, qui débuta en 1775 sous le règne de Louis XVI, est la première grande réalisation d'architecture industrielle qui reflète l'idéal de progrès du siècle des Lumières. <span style=""mso-ansi-language: FR;"" lang=""FR"">Ce vaste ouvrage semi circulaire fut conçu pour permettre une organisation rationnelle et hiérarchisée du travail. La construction initiale devait être suivie de l'édification d'une cité idéale, qui demeura à l'état de projet. </span></p><p>La Grande Saline de Salins-les-Bains fut en activité pendant 1200 ans, jusqu’en 1962. De 1780 à 1895, son eau salée a été acheminée sur une distance de 21km par des saumoducs jusqu’à la Saline Royale d’Arc-et-Senans, construite à proximité d’un massif forestier important pour en assurer le combustible. La Saline de Salins abrite une galerie souterraine du XIIIe siècle avec une pompe hydraulique du XIXe toujours en fonctionnement. La salle des Poêles laisse imaginer la pénibilité du travail des sauniers pour récolter l’Or Blanc.</p>",5.8763888889,46.9375,France,France
1663,1337,Episcopal City of Albi,Cité épiscopale d'Albi,"<p>On the banks of the Tarn river in south-west France, the old city of Albi reflects the culmination of a medieval architectural and urban ensemble. Today the Old Bridge (Pont-Vieux), the Saint-Salvi quarter and its church are testimony to its initial development (10th -11th centuries). Following the Albigensian Crusade against the Cathar heretics (13th century) it became a powerful episcopal city. Built in a unique southern French Gothic style from local brick in characteristic red and orange colours, the lofty fortified Cathedral (late 13th century) dominates the city, demonstrating the power regained by the Roman Catholic clergy. Alongside the Cathedral is the vast bishop&rsquo;s Palais de la Berbie, overlooking the river and surrounded by residential quarters that date back to the Middle Ages. The Episcopal City of Albi forms a coherent and homogeneous ensemble of monuments and quarters that has remained largely unchanged over the centuries.</p>","<p>Situ&eacute;e en bordure du Tarn, la vieille ville d'Albi, dans le sud-ouest de la France, refl&egrave;te l'&eacute;panouissement d'un ensemble architectural et urbain m&eacute;di&eacute;val dont t&eacute;moignent aujourd'hui encore Le Pont-Vieux, le bourg de Saint-Salvi et son &eacute;glise (10e-11e si&egrave;cle). Au 13e si&egrave;cle, la ville devint une puissante cit&eacute; &eacute;piscopale au lendemain de la croisade des Albigeois contre les Cathares. D'un style gothique m&eacute;ridional original &agrave; base de briques aux tons rouge et orang&eacute; fabriqu&eacute;es localement, la cath&eacute;drale fortifi&eacute;e qui domine la ville (XIIIe si&egrave;cle) illustre la puissance retrouv&eacute;e du clerg&eacute; romain. Elle est compl&eacute;t&eacute;e par le vaste palais &eacute;piscopal de la Berbie qui surplombe la rivi&egrave;re et est cern&eacute;e par des quartiers d'habitations datant du Moyen Age. La cit&eacute; &eacute;piscopale d'Albi forme un ensemble de monuments et de quartiers coh&eacute;rent et homog&egrave;ne qui n'a pas subi de changements majeurs au fil des si&egrave;cles.</p>",2.1425,43.9283333333,France,France
1719,81,Chartres Cathedral,Cathédrale de Chartres,"<p>Partly built starting in 1145, and then reconstructed over a 26-year period after the fire of 1194, Chartres Cathedral marks the high point of French Gothic art. The vast nave, in pure ogival style, the porches adorned with fine sculptures from the middle of the 12th century, and the magnificent 12th- and 13th-century stained-glass windows, all in remarkable condition, combine to make it a masterpiece.</p>","<p>Construite en partie &agrave; partir de 1145, et reconstruite en vingt-six ans apr&egrave;s l'incendie de 1194, la cath&eacute;drale de Chartres est le monument par excellence de l'art gothique fran&ccedil;ais. Sa vaste nef du plus pur style ogival, ses porches pr&eacute;sentant d'admirables sculptures du milieu du XII<sup>e</sup> si&egrave;cle, sa chatoyante parure de vitraux des XII<sup>e</sup> et XIII<sup>e</sup> si&egrave;cles en font un chef-d'&oelig;uvre exceptionnel et remarquablement bien conserv&eacute;.</p>",1.487222222,48.4475,France,France
1776,1360,Nord-Pas de Calais Mining Basin,Bassin minier du Nord-Pas de Calais,"<p>Remarkable as a landscape shaped over three centuries of coal extraction from the 1700s to the 1900s, the site consists of 109 separate components over 120,000&nbsp;ha. It features mining pits (the oldest of which dates from 1850) and lift infrastructure, slag heaps (some of which cover 90&nbsp;ha and exceed 140&nbsp;m in height), coal transport infrastructure, railway stations, workers&rsquo; estates and mining villages including social habitat, schools, religious buildings, health and community facilities, company premises, owners and managers&rsquo; houses, town halls and more. The site bears testimony to the quest to create model workers&rsquo; cities from the mid 19th century to the 1960s and further illustrates a significant period in the history of industrial Europe. It documents the living conditions of workers and the solidarity to which it gave rise.</p>","<p>Le Nord-Pas de Calais offre un paysage remarquable fa&ccedil;onn&eacute; par trois si&egrave;cles (XVIIIe au XXe si&egrave;cle) d&rsquo;extraction du charbon. Les 120&nbsp;000 hectares du site sont constitu&eacute;s de 109 biens individuels qui peuvent &ecirc;tre des fosses (la plus vieille date de 1850), des chevalements (supportant les ascenseurs), des terrils (dont certains couvrent 90 hectares et d&eacute;passent les 140 m&egrave;tres de haut), des infrastructures de transport de la houille, des gares ferroviaires, des corons et des villages de mineurs comprenant des &eacute;coles, des &eacute;difices religieux, des &eacute;quipements collectifs et de sant&eacute;, des bureaux de compagnies mini&egrave;res, des logements de cadres et ch&acirc;teaux de dirigeants, des h&ocirc;tels de ville, etc. Le site t&eacute;moigne de la recherche du mod&egrave;le de la cit&eacute; ouvri&egrave;re, du milieu du XIXe si&egrave;cle aux ann&eacute;es 1960, et illustre une p&eacute;riode significative de l&rsquo;histoire de l&rsquo;Europe industrielle. Il informe sur les conditions de vie des mineurs et sur la solidarit&eacute; ouvri&egrave;re.</p><p><span>&nbsp;</span></p>",3.5461111111,50.4625,France,France
1848,1153,"The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape","Les Causses et les Cévennes, paysage culturel de l’agro-pastoralisme méditerranéen","<p>This 302,319 ha property, in the southern part of central France, is a mountain landscape interspersed by deep valleys that is representative of the relationship between agro-pastoral systems and their biophysical environment, notably through drailles or drove roads. Villages and substantial stone farmhouses on deep terraces of the Causses reflect the organization of large abbeys from the 11th century. Mont Loz&egrave;re, inside the property, is one of the last places where summer transhumance is still practiced in the traditional way, using the drailles.</p>","<p>Le site, s'&eacute;tendant sur 302 319 ha au sud du Massif central fran&ccedil;ais, constitue un paysage de montagnes tress&eacute;es de profondes vall&eacute;es qui est repr&eacute;sentatif de la relation existant entre les syst&egrave;mes agropastoraux et leur environnement biophysique, notamment au travers des drailles ou routes de transhumance. Les villages et les grandes fermes en pierre situ&eacute;es sur les terrasses profondes des Causses refl&egrave;tent l'organisation des grandes abbayes &agrave; partir du XIe si&egrave;cle. Le mont Loz&egrave;re, faisant partie du site, est l'un des derniers lieux o&ugrave; l'on pratique toujours la transhumance estivale de la mani&egrave;re traditionnelle, en utilisant les drailles.</p>",3.4730555556,44.2202777778,France,France
1951,162,Amiens Cathedral,Cathédrale d'Amiens,"<p>Amiens Cathedral, in the heart of Picardy, is one of the largest 'classic' Gothic churches of the 13th century. It is notable for the coherence of its plan, the beauty of its three-tier interior elevation and the particularly fine display of sculptures on the principal facade and in the south transept.</p>","<p>La cathédrale d'Amiens, au cœur de la Picardie, est l'une des plus grandes églises gothiques « classiques » du XIII<sup>e</sup> siècle. Elle frappe par la cohérence du plan, la beauté de l'élévation intérieure à trois niveaux et l'agencement d'un programme sculpté extrêmement savant à la façade principale et au bras sud du transept.</p>",2.301666667,49.895,France,France
1952,635,Bourges Cathedral,Cathédrale de Bourges,"<p>The Cathedral of St Etienne of Bourges, built between the late 12th and late 13th centuries, is one of the great masterpieces of Gothic art and is admired for its proportions and the unity of its design. The tympanum, sculptures and stained-glass windows are particularly striking. Apart from the beauty of the architecture, it attests to the power of Christianity in medieval France.</p>","<p>Admirable par ses proportions et l'unit&eacute; de sa conception, la cath&eacute;drale Saint-&Eacute;tienne de Bourges, construite entre la fin du XII<sup>e</sup> et la fin du XIII<sup>e</sup> si&egrave;cle, est l'un des grands chefs-d'&oelig;uvre de l'art gothique. Son tympan, ses sculptures et ses vitraux sont particuli&egrave;rement remarquables. Par-del&agrave; sa beaut&eacute; architecturale, elle t&eacute;moigne de la puissance du christianisme dans la France m&eacute;di&eacute;vale.</p>",2.398333333,47.08222222,France,France
1974,1426,"Decorated Cave of Pont d’Arc, known as Grotte Chauvet-Pont d’Arc, Ardèche","Grotte ornée du Pont-d’Arc, dite Grotte Chauvet-Pont-d’Arc, Ardèche","<p>Located in a limestone plateau of the Ardèche River in southern France, the property contains the earliest-known and best-preserved figurative drawings in the world, dating back as early as the Aurignacian period (30,000–32,000 BP), making it an exceptional testimony of prehistoric art. The cave was closed off by a rock fall approximately 20,000 years BP and remained sealed until its discovery in 1994, which helped to keep it in pristine condition. Over 1,000 images have so far been inventoried on its walls, combining a variety of anthropomorphic and animal motifs. Of exceptional aesthetic quality, they demonstrate a range of techniques including the skilful use of shading, combinations of paint and engraving, anatomical precision, three-dimensionality and movement. They include several dangerous animal species difficult to observe at that time, such as mammoth, bear, cave lion, rhino, bison and auroch, as well as 4,000 inventoried remains of prehistoric fauna and a variety of human footprints.</p>","<p>Située dans un plateau calcaire traversé par les méandres de la rivière Ardèche, au sud de la France, la grotte recèle les plus anciennes peintures connues à ce jour (période de l’aurignacien : entre 30 000 et 32 000 av. J.-C.). Cette grotte exceptionnelle qui témoigne de l’art préhistorique a été fermée par un éboulement il y a environ 20 000 ans BP et elle est restée scellée jusqu’à sa redécouverte en 1994, ce qui a permis de la conserver de façon exceptionnelle. Plus de 1 000 peintures, aux motifs anthropomorphes ou animaliers, ont été inventoriées sur ses murs. Leur qualité esthétique exceptionnelle témoigne d’une large gamme de techniques, notamment la maîtrise de l'estompe, la combinaison peinture-gravure, la précision anatomique, la représentation tridimensionnelle et du mouvement. On y trouve notamment des représentations d’espèces dangereuses, difficiles à observer pour les hommes de l’époque (mammouths, ours, lions des cavernes, rhinocéros, bisons, aurochs), plus de 4 000 restes de la faune du paléolithique et diverses empreintes de pas humains.</p>",4.4161111111,44.3875,France,France
2016,1425,"The Climats, terroirs of Burgundy",Les Climats du vignoble de Bourgogne,"<p>The climates are precisely delimited vineyard parcels on the slopes of the Côte de Nuits and the Côte de Beaune south of the city of Dijon. They differ from one another due to specific natural conditions (geology and exposure) as well as vine types and have been shaped by human cultivation. Over time they came to be recognized by the wine they produce. This cultural landscape consists of two parts. Firstly, the vineyards and associated production units including villages and the town of Beaune, which together represent the commercial dimension of the production system. The second part includes the historic centre of Dijon, which embodies the political regulatory impetus that gave birth to the climats system. The site is an outstanding example of grape cultivation and wine production developed since the High Middle Ages.</p>","<p>Les climats sont des parcelles de vignes précisément délimitées sur les pentes de la côte de Nuits et de Beaune, au sud de Dijon. Elles se distinguent les unes des autres par leurs conditions naturelles spécifiques (géologie, exposition, cépage...) qui ont été façonnées par le travail humain et peu à peu identifiées par rapport au vin qu'elles produisent. Ce paysage culturel est composé de deux éléments : le premier couvre des parcelles viticoles, les unités de production associées, des villages et la ville de Beaune. Cette première composante représente la dimension commerciale du système de production. La seconde composante est le centre historique de Dijon qui matérialise l’impulsion politique donnée à la formation du système des climats. Le site est un exemple remarquable de production viti-vinicole développé depuis le haut Moyen Âge.</p>",4.8644444444,47.0580555556,France,France
2026,1465,"Champagne Hillsides, Houses and Cellars","Coteaux, Maisons et Caves de Champagne","<p><span>The property encompasses sites where the method of producing sparkling wines was developed on the principle of secondary fermentation in the bottle since the early 17</span><sup>th</sup><span> century to its early industrialization in the 19</span><sup>th</sup><span> century. The property is made up of three distinct ensembles: the historic vineyards of Hautvillers, Aÿ and Mareuil-sur-Aÿ, Saint-Nicaise Hill in Reims, and the Avenue de Champagne and Fort Chabrol in Epernay. These three components – the supply basin formed by the historic hillsides, the production sites (with their underground cellars) and the sales and distribution centres (the Champagne Houses) - illustrate the entire champagne production process. The property bears clear testimony to the development of a very specialized artisan activity that has become an agro-industrial enterprise.</span></p>","<p>Il s’agit des lieux où fut développée la méthode d’élaboration des vins effervescents, grâce à la seconde fermentation en bouteille, depuis ses débuts au XVIIe siècle jusqu'à son industrialisation précoce au XIXe siècle. Le bien se compose de trois ensembles distincts : les vignobles historiques d’Hautvillers, Aÿ et Mareuil-sur-Aÿ, la colline Saint-Nicaise à Reims et l’avenue de Champagne et le Fort Chabrol à Epernay. Ces trois ensembles –soit le bassin d’approvisionnement que forment les coteaux historiques, les unités de production (les caves souterraines) et les espaces de commercialisation (les maisons de Champagne)- reflètent la totalité du processus de production de champagne. Le bien illustre clairement comment cette production a évolué d’une activité artisanale très spécialisée à une entreprise agro-industrielle.</p>",3.9461111111,49.0775,France,France
2118,230,Abbey Church of Saint-Savin sur Gartempe,Abbatiale de Saint-Savin sur Gartempe,"<p>Known as the 'Romanesque Sistine Chapel', the Abbey-Church of Saint-Savin contains many beautiful 11th- and 12th-century murals which are still in a remarkable state of preservation.</p>","<p>Surnommée la « Sixtine romane », l'abbaye poitevine de Saint-Savin est décorée de très nombreuses et très belles peintures murales des XI<sup>e</sup> et XII<sup>e</sup> siècles qui nous sont parvenues dans un état de fraîcheur remarquable.</p>",0.86611,46.56472,France,France
2155,1529,Taputapuātea,Taputapuātea,"Taputapuātea on Ra’iātea Island is at the centre of the ‘Polynesian Triangle’, a vast portion of the Pacific Ocean, dotted with islands, and the last part of the globe to be settled by humans. The property includes two forested valleys, a portion of lagoon and coral reef and a strip of open ocean. At the heart of the property is the Taputapuātea <em>marae</em> complex, a political, ceremonial and funerary centre. It is characterized by several marae, with different functions. Widespread in Polynesia, the <em>marae </em>were places where the world of the living intersected the world of the ancestors and the gods. Taputapuātea is an exceptional testimony to 1,000 years of <em>mā'ohi </em>civilization<em>.</em>","<p>Taputapuātea, sur l’île de Ra’iātea, se trouve au cœur du « Triangle polynésien », une vaste portion de l’océan Pacifique parsemée d’îles, dernière partie du globe à avoir été peuplée. Le bien comprend deux vallées boisées, une partie de lagon et de récif corallien, et une bande de pleine mer. Au cœur de ce bien se trouve le <em>marae </em>Taputapuātea, un centre politique, cérémoniel et funéraire. Il se caractérise par plusieurs marae aux fonctions bien distinctes. Répandus en Polynésie, les <em>marae </em>étaient des espaces de liaison entre le monde des vivants et celui des ancêtres et des dieux. Taputapuātea apporte un témoignage exceptionnel de 1 000 ans de civilisation <em>mā'ohi.</em></p>",-151.3723777778,-16.8414,France,France
2156,495,"Strasbourg, Grande-Île and Neustadt","Strasbourg, Grande-Île et Neustadt","<p>The initial property, inscribed in 1988 on the World Heritage List, was formed by the Grande-Île, the historic centre of Strasbourg, structured around the cathedral. The extension concerns the <em>Neustadt</em>, new town, designed and built under the German administration (1871-1918). The <em>Neustadt</em> draws the inspiration for its urban layout partially from the Haussmannian model, while adopting an architectural idiom of Germanic inspiration. This dual influence has enabled the creation of an urban space that is specific to Strasbourg, where the perspectives created around the cathedral open to a unified landscape around the rivers and canals.</p>","<p>Le bien initial, inscrit en 1988 sur la Liste du patrimoine mondial, est formé de la Grande-Île, centre historique de la ville de Strasbourg, structuré autour de la cathédrale. L’extension concerne la <em>Neustadt</em>, ville nouvelle conçue et réalisée sous administration allemande (1871-1918). Dans sa composition urbaine, la <em>Neustadt</em> s’inspire pour partie du modèle haussmannien, tout en adoptant un vocabulaire architectural d'inspiration germanique. Cette double influence a permis de créer un schéma urbain spécifique à Strasbourg, où les perspectives créées à partir de la cathédrale s’ouvrent sur un paysage unifié organisé autour des cours d’eau et des canaux.</p>",7.7488888889,48.5844444444,France,France
2186,229,"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy","Places Stanislas, de la Carrière et d'Alliance à Nancy","<p>Nancy, the temporary residence of a king without a kingdom – Stanislas Leszczynski, later to become Duke of Lorraine – is paradoxically the oldest and most typical example of a modern capital where an enlightened monarch proved to be sensitive to the needs of the public. Built between 1752 and 1756 by a brilliant team led by the architect Héré, this was a carefully conceived project that succeeded in creating a capital that not only enhanced the sovereign's prestige but was also functional.</p>","<p>Nancy, résidence temporaire d'un roi sans royaume devenu duc de Lorraine, Stanislas Leszczynski, est paradoxalement l'exemple le plus ancien et le plus typique d'une capitale moderne où un monarque éclairé se montre soucieux d'utilité publique. Réalisé de 1752 à 1756 par une équipe brillante sous la direction de l'architecte Héré, le projet, d'une grande cohérence, s'est concrétisé dans une parfaite réussite monumentale qui allie la recherche du prestige et de l'exaltation du souverain au souci de la fonctionnalité.</p>",6.183333333,48.69361111,France,France
2250,933,The Loire Valley between Sully-sur-Loire and Chalonnes,Val de Loire entre Sully-sur-Loire et Chalonnes,"<p>The Loire Valley is an outstanding cultural landscape of great beauty, containing historic towns and villages, great architectural monuments (the châteaux), and cultivated lands formed by many centuries of interaction between their population and the physical environment, primarily the river Loire itself.</p>","<p>Le Val de Loire est un paysage culturel exceptionnel, comprenant des villes et villages historiques, de grands monuments architecturaux - les châteaux - et des terres cultivées, façonnées par des siècles d'interaction entre les populations et leur environnement physique, dont la Loire elle-même.</p>",0.70278,47.39889,France,France
2257,1434,Chaîne des Puys - Limagne fault tectonic arena,Haut lieu tectonique Chaîne des Puys - faille de Limagne,"<p>Situated in the centre of France, the property comprises the long Limagne fault, the alignments of the Chaîne des Puys volcanoes and the inverted relief of the Montagne de la Serre. It is an emblematic segment of the West European Rift, created in the aftermath of the formation of the Alps, 35 million years ago. The geological features of the property demonstrate how the continental crust cracks, then collapses, allowing deep magma to rise and cause uplifting at the surface. The property is an exceptional illustration of continental break-up – or rifting – which is one of the five major stages of plate tectonics.</p>","<p>Situé au centre de la France, le bien comprend la longue faille de Limagne, l’alignement des volcans de la Chaîne des Puys et le relief inversé de la Montagne de la Serre. Il s’agit d’un élément emblématique du rift ouest-européen, créé dans le sillage de la formation des Alpes, il y a 35 millions d’années. Les caractéristiques géologiques du bien démontrent comment la croûte continentale se fissure, puis s’effondre, permettant au magma profond de remonter et entraînant un soulèvement de la surface. Le bien illustre de manière exceptionnelle le phénomène de rupture continentale – ou rifting –, qui est l’une des cinq principales étapes de la tectonique des plaques.</p>",2.9651111111,45.7793888889,France,France
2300,1603,French Austral Lands and Seas,Terres et mers australes françaises,"<span>The French Austral Lands and Seas comprise the largest of the rare emerged land masses in the southern Indian Ocean: the Crozet Archipelago, the Kerguelen Islands, Saint-Paul and Amsterdam Islands as well as 60 small sub-Antarctic islands. This “oasis” in the middle of the Southern Ocean covers an area of more than 67 million ha and supports one of the highest concentrations of birds and marine mammals in the world. In particular, it has the largest population of King Penguins and Yellow-nosed albatrosses in the world. The remoteness of these islands from centres of human activity makes them extremely well-preserved showcases of biological evolution and a unique terrain for scientific research.</span>","<span>Les Terres et mers australes englobent les plus grandes des rares terres émergées du sud de l’océan Indien : l’archipel Crozet, les îles Kerguelen, Saint-Paul et Amsterdam ainsi que 60 petits îlots situés dans la zone subantarctique. Cette « oasis » au cœur de l’océan Austral, qui couvre une superficie de plus de 67 millions d’hectares, abrite l’une des plus fortes concentrations d’oiseaux et de mammifères marins au monde. On y trouve notamment la plus grande population de manchots royaux et d’albatros à bec jaune au monde. Du fait de leur éloignement des centres d’activités humaines, ces îles sont des vitrines de l’évolution biologique extrêmement préservées et constituent un territoire unique pour la recherche scientifique.</span>",69.3528055556,-49.3803611111,France,France
2317,80,Mont-Saint-Michel and its Bay,Mont-Saint-Michel et sa baie,"<p>Perched on a rocky islet in the midst of vast sandbanks exposed to powerful tides between Normandy and Brittany stand the 'Wonder of the West', a Gothic-style Benedictine abbey dedicated to the archangel St Michael, and the village that grew up in the shadow of its great walls. Built between the 11th and 16th centuries, the abbey is a technical and artistic <em>tour de force</em>, having had to adapt to the problems posed by this unique natural site.</p>","<p>Sur un îlot rocheux au milieu de grèves immenses soumises au va-et-vient de puissantes marées, à la limite entre la Normandie et la Bretagne, s'élèvent la « merveille de l'Occident », abbaye bénédictine de style gothique dédiée à l'archange saint Michel, et le village né à l'abri de ses murailles. La construction de l'abbaye, qui s'est poursuivie du XI<sup>e</sup> au XVI<sup>e</sup> siècle, en s'adaptant à un site naturel très difficile, a été un tour de force technique et artistique.</p>",-1.51056,48.63556,France,France